date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:38	991/991	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Jul%202026%2008:53:38%20GMT	https://rig.ai/robots.txt		(from )
14:23:39	108110/108110	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/index.html	(from )
14:23:39	1519544/1519544	---M--	200	added ('OK')	image/png	etag:W/%22172fb8-19ef9df8948%22	https://rig.ai/rig-graph.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/rig-graph.png	(from https://rig.ai/)
14:23:40	22500/22500	---M--	200	added ('OK')	font/woff2	etag:W/%2257e4-19ef9df8948%22	https://rig.ai/fonts/chalet_londonnineteensixty.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/chalet_londonnineteensixty.woff2	(from https://rig.ai/)
14:23:40	28616/28616	---M--	200	added ('OK')	font/woff2	etag:W/%226fc8-19ef9df8948%22	https://rig.ai/fonts/GeistPixel-Square.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/GeistPixel-Square.woff2	(from https://rig.ai/)
14:23:40	29904/29904	---M--	200	added ('OK')	font/woff2	etag:W/%2274d0-19ef9df8948%22	https://rig.ai/fonts/InstrumentSans-latin.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/InstrumentSans-latin.woff2	(from https://rig.ai/)
14:23:41	26380/26380	---M--	200	added ('OK')	font/woff2	etag:W/%22670c-19ef9df8948%22	https://rig.ai/fonts/ChivoMono-latin.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/ChivoMono-latin.woff2	(from https://rig.ai/)
14:23:41	13520/13520	---MCZ	200	added ('OK')	text/css	etag:W/%2234d0-19ef9df8948%22	https://rig.ai/_astro/_slug_.syMwFS_H.css	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/_slug_.syMwFS_H.css	(from https://rig.ai/)
14:23:41	39879/39879	---MCZ	200	added ('OK')	text/css	etag:W/%229bc7-19d970b08c0%22	https://rig.ai/_astro/index.BJ6t_aqD.css	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.BJ6t_aqD.css	(from https://rig.ai/)
14:23:41	4222/4222	---MCZ	200	added ('OK')	text/css	etag:W/%22107e-19d970b08c0%22	https://rig.ai/_astro/index.DGyztNce.css	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.DGyztNce.css	(from https://rig.ai/)
14:23:42	2253/2253	---MCZ	200	added ('OK')	text/javascript	etag:W/%228cd-19ef9df8948%22	https://rig.ai/_astro/page.sJrt8mpm.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/page.sJrt8mpm.js	(from https://rig.ai/)
14:23:42	1035/1035	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2240b-19ef9df8948%22	https://rig.ai/assets/rig-wordmark.svg	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/assets/rig-wordmark.svg	(from https://rig.ai/)
14:23:42	21248/21248	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/blog	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/blog.html	(from https://rig.ai/)
14:23:42	30444/30444	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/waitlist	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/waitlist.html	(from https://rig.ai/)
14:23:43	734/734	---MCZ	200	added ('OK')	text/javascript	etag:W/%222de-19ef9df8948%22	https://rig.ai/_astro/Header.astro_astro_type_script_index_0_lang.BGuAL9A7.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/Header.astro_astro_type_script_index_0_lang.BGuAL9A7.js	(from https://rig.ai/)
14:23:43	144/144	---MCZ	200	added ('OK')	text/javascript	etag:W/%2290-19ef9df8948%22	https://rig.ai/_astro/Hero.astro_astro_type_script_index_0_lang.DCg3gjlm.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/Hero.astro_astro_type_script_index_0_lang.DCg3gjlm.js	(from https://rig.ai/)
14:23:43	2447/2447	---MCZ	200	added ('OK')	text/javascript	etag:W/%2298f-19ef9df8948%22	https://rig.ai/_astro/WaitlistForm.astro_astro_type_script_index_0_lang.foP-tWkv.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/WaitlistForm.astro_astro_type_script_index_0_lang.foP-tWkv.js	(from https://rig.ai/)
14:23:43	635/635	---MCZ	200	added ('OK')	text/javascript	etag:W/%2227b-19ef9df8948%22	https://rig.ai/_astro/EarlyAccess.astro_astro_type_script_index_0_lang.DGQuMvdM.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/EarlyAccess.astro_astro_type_script_index_0_lang.DGQuMvdM.js	(from https://rig.ai/)
14:23:44	34476/34476	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/privacy	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/privacy.html	(from https://rig.ai/)
